"","date","month","city","state","event_name","JSD_score","Spearman_cor"
"284","25/4/2017",4,"Nashville","TN","Nashville Film Festival",0.239667529147505,0.157142857142857
"285","25/4/2017",4,"Las Vegas","NV","NAB Show",0.135041940259226,-0.453571428571428
"286","25/4/2017",4,"Miami","FL","Billboard Latin Music Conference and Awards",0.242118488225096,0.375
"287","26/4/2017",4,"New York","NY","Tribeca Film Festival",0.1574638925096,-0.0892857142857143
"288","26/4/2017",4,"Nashville","TN","Nashville Film Festival",0.239667529147505,0.157142857142857
"289","26/4/2017",4,"Las Vegas","NV","NAB Show",0.135041940259226,-0.453571428571428
"290","26/4/2017",4,"Miami","FL","Billboard Latin Music Conference and Awards",0.242118488225096,0.375
"291","27/4/2017",4,"New York","NY","Tribeca Film Festival",0.1574638925096,-0.0892857142857143
"292","27/4/2017",4,"Nashville","TN","Nashville Film Festival",0.239667529147505,0.157142857142857
"293","27/4/2017",4,"Las Vegas","NV","NAB Show",0.135041940259226,-0.453571428571428
"294","27/4/2017",4,"Miami","FL","Billboard Latin Music Conference and Awards",0.242118488225096,0.375
